net,length_um
net2,1.12812mm
net5,602.06µm
acc_reg\[4\],452.505µm
my_mul.x2\[6\],435.17µm
acc_reg\[3\],405.415µm
acc_reg\[5\],372.805µm
_0364_,298.17µm
clknet_0_clk,295.355µm
acc_reg\[2\],293.385µm
my_mul.x2\[5\],280.44µm
my_mul.x2\[3\],279.52µm
acc_reg\[1\],266.515µm
my_sum_sub.state\[2\],260.78µm
acc_reg\[6\],257.335µm
my_mul.x2\[4\],252.32µm
_0604_,233.23µm
my_mul.x2\[2\],231.99µm
acc_reg\[0\],228.885µm
state\[4\],222.915µm
_0504_,222.67µm
clknet_4_0_0_clk,219.51µm
_0623_,215.32µm
my_mul.x2\[1\],206.3µm
_0972_,204.875µm
_1064_,200.305µm
_1090_,198.13µm
_0630_,192.365µm
_0974_,192.03µm
_1097_,191.76µm
net280,188.09µm
_1088_,186.78µm
my_mul.x2\[0\],185.76µm
_0500_,182.895µm
_1055_,179.435µm
_1100_,175.475µm
_1099_,170.41µm
clknet_4_2_0_clk,170.15µm
_0973_,169.86µm
clknet_4_7_0_clk,167.78µm
net127,162.9µm
_0650_,159.355µm
_0637_,157.445µm
clknet_4_1_0_clk,154.56µm
_0606_,153.13µm
clknet_4_14_0_clk,150.28µm
_0643_,147.865µm
clk,145.95µm
clknet_4_15_0_clk,144.035µm
_0546_,136.55µm
my_sum_sub.al_b_larger,134.08µm
clknet_4_13_0_clk,132.76µm
net88,132.5µm
_0659_,131.525µm
my_mul.x2\[8\],128.145µm
clknet_4_5_0_clk,126.5µm
_1153_,123.915µm
my_mul.x2\[11\],123.08µm
_0667_,117.285µm
_0658_,117.12µm
_0368_,117.04µm
_1057_,116.83µm
acc_reg\[7\],116.705µm
_0668_,116.515µm
_0958_,115.975µm
my_mul.x2\[7\],115.97µm
my_sum_sub.cm_mant\[5\],114.04µm
net282,113.9µm
_0969_,113.51µm
_0971_,113.39µm
my_mul.x2\[9\],112.58µm
_0675_,110.635µm
_0506_,109.68µm
_1002_,108.13µm
my_sum_sub.cm_mant\[7\],107.655µm
_0676_,107.34µm
_0828_,106.82µm
net110,106.305µm
acc_reg\[9\],106.02µm
_1091_,105.72µm
_0607_,105.42µm
net252,105.22µm
_0608_,104.6µm
shift_out\[0\],104.38µm
net105,102.28µm
acc_reg\[8\],99.96µm
my_mul.x2\[12\],96.99µm
clknet_4_6_0_clk,96.965µm
my_mul.x2\[10\],96.045µm
net97,94.085µm
