Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_62_368,VGND,li1,175.2600,179.5200,0.000000
FILLER_62_365,VGND,li1,174.1100,179.5200,0.000000
FILLER_62_361,VGND,li1,172.2700,179.5200,0.000000
FILLER_62_358,VGND,li1,170.8900,179.5200,0.000000
FILLER_62_355,VGND,li1,169.5100,179.5200,0.000000
FILLER_62_352,VGND,li1,168.1300,179.5200,0.000000
FILLER_62_349,VGND,li1,166.7500,179.5200,0.000000
FILLER_62_346,VGND,li1,165.3700,179.5200,0.000000
FILLER_62_343,VGND,li1,163.9900,179.5200,0.000000
FILLER_62_340,VGND,li1,162.6100,179.5200,0.000000
FILLER_62_337,VGND,li1,161.2300,179.5200,0.000000
FILLER_62_333,VGND,li1,159.3900,179.5200,0.000000
FILLER_62_330,VGND,li1,158.0100,179.5200,0.000000
FILLER_62_327,VGND,li1,156.6300,179.5200,0.000000
FILLER_62_324,VGND,li1,155.2500,179.5200,0.000000
FILLER_62_321,VGND,li1,153.8700,179.5200,0.000000
FILLER_62_318,VGND,li1,152.4900,179.5200,0.000000
FILLER_62_315,VGND,li1,151.1100,179.5200,0.000000
FILLER_62_312,VGND,li1,149.7300,179.5200,0.000000
FILLER_62_309,VGND,li1,148.3500,179.5200,0.000000
FILLER_62_305,VGND,li1,146.5100,179.5200,0.000000
FILLER_62_302,VGND,li1,145.1300,179.5200,0.000000
FILLER_62_299,VGND,li1,143.7500,179.5200,0.000000
FILLER_62_296,VGND,li1,142.3700,179.5200,0.000000
FILLER_62_293,VGND,li1,140.9900,179.5200,0.000000
FILLER_62_290,VGND,li1,139.6100,179.5200,0.000000
FILLER_62_287,VGND,li1,138.2300,179.5200,0.000000
FILLER_62_284,VGND,li1,136.8500,179.5200,0.000000
FILLER_62_281,VGND,li1,135.4700,179.5200,0.000000
FILLER_62_277,VGND,li1,133.6300,179.5200,0.000000
FILLER_62_274,VGND,li1,132.2500,179.5200,0.000000
FILLER_62_271,VGND,li1,130.8700,179.5200,0.000000
FILLER_62_268,VGND,li1,129.4900,179.5200,0.000000
FILLER_62_265,VGND,li1,128.1100,179.5200,0.000000
FILLER_62_262,VGND,li1,126.7300,179.5200,0.000000
FILLER_62_259,VGND,li1,125.3500,179.5200,0.000000
FILLER_62_256,VGND,li1,123.9700,179.5200,0.000000
FILLER_62_253,VGND,li1,122.5900,179.5200,0.000000
FILLER_62_249,VGND,li1,120.7500,179.5200,0.000000
FILLER_62_246,VGND,li1,119.3700,179.5200,0.000000
FILLER_62_243,VGND,li1,117.9900,179.5200,0.000000
FILLER_62_240,VGND,li1,116.6100,179.5200,0.000000
FILLER_62_237,VGND,li1,115.2300,179.5200,0.000000
FILLER_62_234,VGND,li1,113.8500,179.5200,0.000000
FILLER_62_231,VGND,li1,112.4700,179.5200,0.000000
FILLER_62_228,VGND,li1,111.0900,179.5200,0.000000
FILLER_62_225,VGND,li1,109.7100,179.5200,0.000000
FILLER_62_222,VGND,li1,108.1000,179.5200,0.000000
FILLER_62_219,VGND,li1,106.9500,179.5200,0.000000
FILLER_62_216,VGND,li1,105.5700,179.5200,0.000000
FILLER_62_206,VGND,li1,100.9700,179.5200,0.000000
FILLER_62_203,VGND,li1,99.5900,179.5200,0.000000
FILLER_62_200,VGND,li1,98.2100,179.5200,0.000000
FILLER_62_197,VGND,li1,96.8300,179.5200,0.000000
FILLER_62_195,VGND,li1,95.4500,179.5200,0.000000
FILLER_62_192,VGND,li1,94.5300,179.5200,0.000000
FILLER_62_189,VGND,li1,93.1500,179.5200,0.000000
FILLER_62_186,VGND,li1,91.7700,179.5200,0.000000
FILLER_62_180,VGND,li1,89.0100,179.5200,0.000000
FILLER_62_177,VGND,li1,87.6300,179.5200,0.000000
FILLER_62_169,VGND,li1,83.7200,179.5200,0.000000
FILLER_62_165,VGND,li1,82.1100,179.5200,0.000000
FILLER_62_162,VGND,li1,80.7300,179.5200,0.000000
FILLER_62_159,VGND,li1,79.3500,179.5200,0.000000
FILLER_62_156,VGND,li1,77.9700,179.5200,0.000000
FILLER_62_153,VGND,li1,76.5900,179.5200,0.000000
FILLER_62_150,VGND,li1,75.2100,179.5200,0.000000
FILLER_62_147,VGND,li1,73.8300,179.5200,0.000000
FILLER_62_144,VGND,li1,72.4500,179.5200,0.000000
FILLER_62_141,VGND,li1,71.0700,179.5200,0.000000
FILLER_62_137,VGND,li1,69.2300,179.5200,0.000000
FILLER_62_134,VGND,li1,67.8500,179.5200,0.000000
FILLER_62_131,VGND,li1,66.4700,179.5200,0.000000
FILLER_62_122,VGND,li1,62.3300,179.5200,0.000000
FILLER_62_119,VGND,li1,60.9500,179.5200,0.000000
FILLER_62_116,VGND,li1,59.5700,179.5200,0.000000
FILLER_62_113,VGND,li1,58.1900,179.5200,0.000000
FILLER_62_109,VGND,li1,56.3500,179.5200,0.000000
FILLER_62_106,VGND,li1,54.9700,179.5200,0.000000
FILLER_62_103,VGND,li1,53.5900,179.5200,0.000000
FILLER_62_100,VGND,li1,52.2100,179.5200,0.000000
FILLER_62_97,VGND,li1,50.8300,179.5200,0.000000
FILLER_62_94,VGND,li1,49.4500,179.5200,0.000000
FILLER_62_91,VGND,li1,48.0700,179.5200,0.000000
FILLER_62_88,VGND,li1,46.6900,179.5200,0.000000
FILLER_62_85,VGND,li1,45.3100,179.5200,0.000000
FILLER_62_83,VGND,li1,43.9300,179.5200,0.000000
FILLER_62_80,VGND,li1,43.0100,179.5200,0.000000
FILLER_62_77,VGND,li1,41.6300,179.5200,0.000000
FILLER_62_66,VGND,li1,36.3400,179.5200,0.000000
FILLER_62_63,VGND,li1,35.1900,179.5200,0.000000
FILLER_62_60,VGND,li1,33.8100,179.5200,0.000000
FILLER_62_57,VGND,li1,32.4300,179.5200,0.000000
FILLER_62_53,VGND,li1,30.5900,179.5200,0.000000
FILLER_62_50,VGND,li1,29.2100,179.5200,0.000000
FILLER_62_47,VGND,li1,27.8300,179.5200,0.000000
FILLER_62_44,VGND,li1,26.4500,179.5200,0.000000
FILLER_62_41,VGND,li1,25.0700,179.5200,0.000000
FILLER_62_38,VGND,li1,23.6900,179.5200,0.000000
