Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_62_368,VPWR,li1,175.2600,182.2400,1.800000
FILLER_62_365,VPWR,li1,174.1100,182.2400,1.800000
FILLER_62_361,VPWR,li1,172.2700,182.2400,1.800000
FILLER_62_358,VPWR,li1,170.8900,182.2400,1.800000
FILLER_62_355,VPWR,li1,169.5100,182.2400,1.800000
FILLER_62_352,VPWR,li1,168.1300,182.2400,1.800000
FILLER_62_349,VPWR,li1,166.7500,182.2400,1.800000
FILLER_62_346,VPWR,li1,165.3700,182.2400,1.800000
FILLER_62_343,VPWR,li1,163.9900,182.2400,1.800000
FILLER_62_340,VPWR,li1,162.6100,182.2400,1.800000
FILLER_62_337,VPWR,li1,161.2300,182.2400,1.800000
FILLER_62_333,VPWR,li1,159.3900,182.2400,1.800000
FILLER_62_330,VPWR,li1,158.0100,182.2400,1.800000
FILLER_62_327,VPWR,li1,156.6300,182.2400,1.800000
FILLER_62_324,VPWR,li1,155.2500,182.2400,1.800000
FILLER_62_321,VPWR,li1,153.8700,182.2400,1.800000
FILLER_62_318,VPWR,li1,152.4900,182.2400,1.800000
FILLER_62_315,VPWR,li1,151.1100,182.2400,1.800000
FILLER_62_312,VPWR,li1,149.7300,182.2400,1.800000
FILLER_62_309,VPWR,li1,148.3500,182.2400,1.800000
FILLER_62_305,VPWR,li1,146.5100,182.2400,1.800000
FILLER_62_302,VPWR,li1,145.1300,182.2400,1.800000
FILLER_62_299,VPWR,li1,143.7500,182.2400,1.800000
FILLER_62_296,VPWR,li1,142.3700,182.2400,1.800000
FILLER_62_293,VPWR,li1,140.9900,182.2400,1.800000
FILLER_62_290,VPWR,li1,139.6100,182.2400,1.800000
FILLER_62_287,VPWR,li1,138.2300,182.2400,1.800000
FILLER_62_284,VPWR,li1,136.8500,182.2400,1.800000
FILLER_62_281,VPWR,li1,135.4700,182.2400,1.800000
FILLER_62_277,VPWR,li1,133.6300,182.2400,1.800000
FILLER_62_274,VPWR,li1,132.2500,182.2400,1.800000
FILLER_62_271,VPWR,li1,130.8700,182.2400,1.800000
FILLER_62_268,VPWR,li1,129.4900,182.2400,1.800000
FILLER_62_265,VPWR,li1,128.1100,182.2400,1.800000
FILLER_62_262,VPWR,li1,126.7300,182.2400,1.800000
FILLER_62_259,VPWR,li1,125.3500,182.2400,1.800000
FILLER_62_256,VPWR,li1,123.9700,182.2400,1.800000
FILLER_62_253,VPWR,li1,122.5900,182.2400,1.800000
FILLER_62_249,VPWR,li1,120.7500,182.2400,1.800000
FILLER_62_246,VPWR,li1,119.3700,182.2400,1.800000
FILLER_62_243,VPWR,li1,117.9900,182.2400,1.800000
FILLER_62_240,VPWR,li1,116.6100,182.2400,1.800000
FILLER_62_237,VPWR,li1,115.2300,182.2400,1.800000
FILLER_62_234,VPWR,li1,113.8500,182.2400,1.800000
FILLER_62_231,VPWR,li1,112.4700,182.2400,1.800000
FILLER_62_228,VPWR,li1,111.0900,182.2400,1.800000
FILLER_62_225,VPWR,li1,109.7100,182.2400,1.800000
FILLER_62_222,VPWR,li1,108.1000,182.2400,1.800000
FILLER_62_219,VPWR,li1,106.9500,182.2400,1.800000
FILLER_62_216,VPWR,li1,105.5700,182.2400,1.800000
FILLER_62_206,VPWR,li1,100.9700,182.2400,1.800000
FILLER_62_203,VPWR,li1,99.5900,182.2400,1.800000
FILLER_62_200,VPWR,li1,98.2100,182.2400,1.800000
FILLER_62_197,VPWR,li1,96.8300,182.2400,1.800000
FILLER_62_195,VPWR,li1,95.4500,182.2400,1.800000
FILLER_62_192,VPWR,li1,94.5300,182.2400,1.800000
FILLER_62_189,VPWR,li1,93.1500,182.2400,1.800000
FILLER_62_186,VPWR,li1,91.7700,182.2400,1.800000
FILLER_62_180,VPWR,li1,89.0100,182.2400,1.800000
FILLER_62_177,VPWR,li1,87.6300,182.2400,1.800000
FILLER_62_169,VPWR,li1,83.7200,182.2400,1.800000
FILLER_62_165,VPWR,li1,82.1100,182.2400,1.800000
FILLER_62_162,VPWR,li1,80.7300,182.2400,1.800000
FILLER_62_159,VPWR,li1,79.3500,182.2400,1.800000
FILLER_62_156,VPWR,li1,77.9700,182.2400,1.800000
FILLER_62_153,VPWR,li1,76.5900,182.2400,1.800000
FILLER_62_150,VPWR,li1,75.2100,182.2400,1.800000
FILLER_62_147,VPWR,li1,73.8300,182.2400,1.800000
FILLER_62_144,VPWR,li1,72.4500,182.2400,1.800000
FILLER_62_141,VPWR,li1,71.0700,182.2400,1.800000
FILLER_62_137,VPWR,li1,69.2300,182.2400,1.800000
FILLER_62_134,VPWR,li1,67.8500,182.2400,1.800000
FILLER_62_131,VPWR,li1,66.4700,182.2400,1.800000
FILLER_62_122,VPWR,li1,62.3300,182.2400,1.800000
FILLER_62_119,VPWR,li1,60.9500,182.2400,1.800000
FILLER_62_116,VPWR,li1,59.5700,182.2400,1.800000
FILLER_62_113,VPWR,li1,58.1900,182.2400,1.800000
FILLER_62_109,VPWR,li1,56.3500,182.2400,1.800000
FILLER_62_106,VPWR,li1,54.9700,182.2400,1.800000
FILLER_62_103,VPWR,li1,53.5900,182.2400,1.800000
FILLER_62_100,VPWR,li1,52.2100,182.2400,1.800000
FILLER_62_97,VPWR,li1,50.8300,182.2400,1.800000
FILLER_62_94,VPWR,li1,49.4500,182.2400,1.800000
FILLER_62_91,VPWR,li1,48.0700,182.2400,1.800000
FILLER_62_88,VPWR,li1,46.6900,182.2400,1.800000
FILLER_62_85,VPWR,li1,45.3100,182.2400,1.800000
FILLER_62_83,VPWR,li1,43.9300,182.2400,1.800000
FILLER_62_80,VPWR,li1,43.0100,182.2400,1.800000
FILLER_62_77,VPWR,li1,41.6300,182.2400,1.800000
FILLER_62_66,VPWR,li1,36.3400,182.2400,1.800000
FILLER_62_63,VPWR,li1,35.1900,182.2400,1.800000
FILLER_62_60,VPWR,li1,33.8100,182.2400,1.800000
FILLER_62_57,VPWR,li1,32.4300,182.2400,1.800000
FILLER_62_53,VPWR,li1,30.5900,182.2400,1.800000
FILLER_62_50,VPWR,li1,29.2100,182.2400,1.800000
FILLER_62_47,VPWR,li1,27.8300,182.2400,1.800000
FILLER_62_44,VPWR,li1,26.4500,182.2400,1.800000
FILLER_62_41,VPWR,li1,25.0700,182.2400,1.800000
FILLER_62_38,VPWR,li1,23.6900,182.2400,1.800000
FILLER_62_35,VPWR,li1,22.3100,182.2400,1.800000
FILLER_62_32,VPWR,li1,20.9300,182.2400,1.800000
FILLER_62_29,VPWR,li1,19.5500,182.2400,1.800000
FILLER_62_27,VPWR,li1,18.1700,182.2400,1.800000
FILLER_62_24,VPWR,li1,17.2500,182.2400,1.800000
FILLER_62_21,VPWR,li1,15.8700,182.2400,1.800000
FILLER_62_18,VPWR,li1,14.4900,182.2400,1.800000
FILLER_62_15,VPWR,li1,13.1100,182.2400,1.800000
FILLER_62_12,VPWR,li1,11.7300,182.2400,1.800000
FILLER_62_9,VPWR,li1,10.3500,182.2400,1.800000
FILLER_62_6,VPWR,li1,8.9700,182.2400,1.800000
FILLER_62_3,VPWR,li1,7.5900,182.2400,1.800000
FILLER_61_367,VPWR,li1,175.0300,176.8000,1.800000
FILLER_61_364,VPWR,li1,173.6500,176.8000,1.800000
FILLER_61_361,VPWR,li1,172.2700,176.8000,1.800000
FILLER_61_358,VPWR,li1,170.8900,176.8000,1.800000
FILLER_61_355,VPWR,li1,169.5100,176.8000,1.800000
FILLER_61_352,VPWR,li1,168.1300,176.8000,1.800000
FILLER_61_349,VPWR,li1,166.7500,176.8000,1.800000
FILLER_61_346,VPWR,li1,165.3700,176.8000,1.800000
FILLER_61_343,VPWR,li1,163.9900,176.8000,1.800000
FILLER_61_340,VPWR,li1,162.6100,176.8000,1.800000
FILLER_61_337,VPWR,li1,161.2300,176.8000,1.800000
FILLER_61_335,VPWR,li1,159.8500,176.8000,1.800000
FILLER_61_332,VPWR,li1,158.9300,176.8000,1.800000
FILLER_61_329,VPWR,li1,157.5500,176.8000,1.800000
FILLER_61_326,VPWR,li1,156.1700,176.8000,1.800000
FILLER_61_323,VPWR,li1,154.7900,176.8000,1.800000
FILLER_61_320,VPWR,li1,153.4100,176.8000,1.800000
FILLER_61_317,VPWR,li1,152.0300,176.8000,1.800000
FILLER_61_314,VPWR,li1,150.6500,176.8000,1.800000
FILLER_61_311,VPWR,li1,149.2700,176.8000,1.800000
FILLER_61_308,VPWR,li1,147.8900,176.8000,1.800000
FILLER_61_305,VPWR,li1,146.5100,176.8000,1.800000
FILLER_61_302,VPWR,li1,145.1300,176.8000,1.800000
FILLER_61_299,VPWR,li1,143.7500,176.8000,1.800000
FILLER_61_296,VPWR,li1,142.3700,176.8000,1.800000
FILLER_61_293,VPWR,li1,140.9900,176.8000,1.800000
FILLER_61_290,VPWR,li1,139.6100,176.8000,1.800000
FILLER_61_287,VPWR,li1,138.2300,176.8000,1.800000
FILLER_61_284,VPWR,li1,136.8500,176.8000,1.800000
FILLER_61_281,VPWR,li1,135.4700,176.8000,1.800000
FILLER_61_277,VPWR,li1,133.6300,176.8000,1.800000
FILLER_61_274,VPWR,li1,132.2500,176.8000,1.800000
FILLER_61_271,VPWR,li1,130.8700,176.8000,1.800000
FILLER_61_268,VPWR,li1,129.4900,176.8000,1.800000
FILLER_61_265,VPWR,li1,128.1100,176.8000,1.800000
FILLER_61_262,VPWR,li1,126.7300,176.8000,1.800000
FILLER_61_259,VPWR,li1,125.3500,176.8000,1.800000
FILLER_61_256,VPWR,li1,123.9700,176.8000,1.800000
FILLER_61_253,VPWR,li1,122.5900,176.8000,1.800000
FILLER_61_250,VPWR,li1,121.2100,176.8000,1.800000
FILLER_61_247,VPWR,li1,119.8300,176.8000,1.800000
FILLER_61_244,VPWR,li1,118.4500,176.8000,1.800000
FILLER_61_241,VPWR,li1,117.0700,176.8000,1.800000
FILLER_61_238,VPWR,li1,115.6900,176.8000,1.800000
FILLER_61_235,VPWR,li1,114.3100,176.8000,1.800000
FILLER_61_222,VPWR,li1,108.1000,176.8000,1.800000
FILLER_61_219,VPWR,li1,106.9500,176.8000,1.800000
FILLER_61_204,VPWR,li1,99.5900,176.8000,1.800000
FILLER_61_201,VPWR,li1,98.6700,176.8000,1.800000
FILLER_61_198,VPWR,li1,97.2900,176.8000,1.800000
FILLER_61_195,VPWR,li1,95.9100,176.8000,1.800000
FILLER_61_187,VPWR,li1,91.7700,176.8000,1.800000
FILLER_61_179,VPWR,li1,88.0900,176.8000,1.800000
FILLER_61_166,VPWR,li1,82.3400,176.8000,1.800000
FILLER_61_163,VPWR,li1,81.1900,176.8000,1.800000
FILLER_61_160,VPWR,li1,79.8100,176.8000,1.800000
FILLER_61_157,VPWR,li1,78.4300,176.8000,1.800000
FILLER_61_146,VPWR,li1,72.9100,176.8000,1.800000
FILLER_61_143,VPWR,li1,71.9900,176.8000,1.800000
FILLER_61_140,VPWR,li1,70.6100,176.8000,1.800000
FILLER_61_127,VPWR,li1,64.6300,176.8000,1.800000
FILLER_61_119,VPWR,li1,60.4900,176.8000,1.800000
FILLER_61_116,VPWR,li1,59.5700,176.8000,1.800000
FILLER_61_113,VPWR,li1,58.1900,176.8000,1.800000
FILLER_61_110,VPWR,li1,56.5800,176.8000,1.800000
FILLER_61_102,VPWR,li1,53.1300,176.8000,1.800000
FILLER_61_99,VPWR,li1,51.7500,176.8000,1.800000
FILLER_61_81,VPWR,li1,43.0100,176.8000,1.800000
FILLER_61_57,VPWR,li1,31.9700,176.8000,1.800000
FILLER_61_54,VPWR,li1,30.8200,176.8000,1.800000
FILLER_61_51,VPWR,li1,29.6700,176.8000,1.800000
FILLER_61_42,VPWR,li1,25.3000,176.8000,1.800000
FILLER_61_33,VPWR,li1,21.1600,176.8000,1.800000
FILLER_61_30,VPWR,li1,20.0100,176.8000,1.800000
FILLER_61_27,VPWR,li1,18.6300,176.8000,1.800000
FILLER_61_24,VPWR,li1,17.2500,176.8000,1.800000
FILLER_61_21,VPWR,li1,15.8700,176.8000,1.800000
FILLER_61_18,VPWR,li1,14.4900,176.8000,1.800000
FILLER_61_15,VPWR,li1,13.1100,176.8000,1.800000
FILLER_61_12,VPWR,li1,11.7300,176.8000,1.800000
FILLER_61_9,VPWR,li1,10.3500,176.8000,1.800000
FILLER_61_6,VPWR,li1,8.9700,176.8000,1.800000
FILLER_61_3,VPWR,li1,7.5900,176.8000,1.800000
FILLER_60_368,VPWR,li1,175.2600,176.8000,1.800000
FILLER_60_365,VPWR,li1,174.1100,176.8000,1.800000
FILLER_60_363,VPWR,li1,172.7300,176.8000,1.800000
FILLER_60_360,VPWR,li1,171.8100,176.8000,1.800000
FILLER_60_357,VPWR,li1,170.4300,176.8000,1.800000
FILLER_60_354,VPWR,li1,169.0500,176.8000,1.800000
FILLER_60_351,VPWR,li1,167.6700,176.8000,1.800000
FILLER_60_348,VPWR,li1,166.2900,176.8000,1.800000
FILLER_60_345,VPWR,li1,164.9100,176.8000,1.800000
FILLER_60_342,VPWR,li1,163.5300,176.8000,1.800000
FILLER_60_339,VPWR,li1,162.1500,176.8000,1.800000
FILLER_60_336,VPWR,li1,160.7700,176.8000,1.800000
FILLER_60_333,VPWR,li1,159.3900,176.8000,1.800000
FILLER_60_330,VPWR,li1,158.0100,176.8000,1.800000
FILLER_60_327,VPWR,li1,156.6300,176.8000,1.800000
FILLER_60_324,VPWR,li1,155.2500,176.8000,1.800000
FILLER_60_321,VPWR,li1,153.8700,176.8000,1.800000
FILLER_60_318,VPWR,li1,152.4900,176.8000,1.800000
FILLER_60_315,VPWR,li1,151.1100,176.8000,1.800000
FILLER_60_312,VPWR,li1,149.7300,176.8000,1.800000
FILLER_60_309,VPWR,li1,148.3500,176.8000,1.800000
FILLER_60_307,VPWR,li1,146.9700,176.8000,1.800000
FILLER_60_304,VPWR,li1,146.0500,176.8000,1.800000
FILLER_60_301,VPWR,li1,144.6700,176.8000,1.800000
FILLER_60_298,VPWR,li1,143.2900,176.8000,1.800000
FILLER_60_295,VPWR,li1,141.9100,176.8000,1.800000
FILLER_60_292,VPWR,li1,140.5300,176.8000,1.800000
FILLER_60_289,VPWR,li1,139.1500,176.8000,1.800000
FILLER_60_286,VPWR,li1,137.7700,176.8000,1.800000
FILLER_60_283,VPWR,li1,136.3900,176.8000,1.800000
FILLER_60_280,VPWR,li1,135.0100,176.8000,1.800000
FILLER_60_277,VPWR,li1,133.6300,176.8000,1.800000
FILLER_60_274,VPWR,li1,132.2500,176.8000,1.800000
